seller_id,seller_state,order_count,delivered_order_count,canceled_or_unavailable_count,late_delivery_count,very_late_count,low_review_count,total_item_value,avg_review_score,late_delivery_rate,low_review_rate,cancellation_rate,seller_priority_score,seller_priority_band
b2479f944e1b90cf8a5de1bbfde284d6,SP,103,101,1,14,8,32,4752.51,3.4215686274509802,0.136,0.311,0.01,35,Medium
6560211a19b47992c3666cc44a7e94c0,SP,1854,1819,7,117,30,319,123304.83,3.9341675734494017,0.063,0.172,0.004,25,Low
4a3ca9315b744ce9f8e9374361493884,SP,1806,1772,2,195,105,344,200472.92,3.82296918767507,0.108,0.19,0.001,25,Low
cc419e0650a3c5ba77189a1882b7556a,SP,1706,1651,9,101,36,257,104288.42,4.064782096584216,0.059,0.151,0.005,25,Low
1f50f920176fa81dab994f9023523100,SP,1404,1399,1,148,61,198,106939.20999999999,4.132237312365976,0.105,0.141,0.001,25,Low
da8622b14eb17ae2831f4ac5b9dab84a,SP,1314,1311,0,100,42,157,160236.57,4.169724770642202,0.076,0.119,0.0,25,Low
955fee9216a65b617aa5c0531780ce60,SP,1287,1261,1,98,38,146,135171.7,4.157400156617071,0.076,0.113,0.001,25,Low
7a67c85e85bb2ce8582c35f2203ad736,SP,1160,1145,1,68,24,123,141745.53,4.242397914856646,0.059,0.106,0.001,25,Low
ea8482cd71df3c1969d7b9473ff13abc,SP,1146,1132,1,118,42,176,37177.52,3.9964912280701754,0.103,0.154,0.001,25,Low
4869f7a5dfa277a7dca6462dcf3b52b2,SP,1132,1124,1,130,64,152,229472.63,4.133451957295374,0.115,0.134,0.001,25,Low
3d871de0142ce09b7081e2b9d1733cb1,SP,1080,1064,4,63,33,123,94914.2,4.152478952291862,0.058,0.114,0.004,25,Low
8b321bb669392f5163d04c59e235e066,SP,943,930,0,97,42,141,17535.69,4.07454739084132,0.103,0.15,0.0,25,Low
1025f0e2d44d7041d6cf58b6550e0bfa,SP,915,910,0,92,26,159,138968.55,3.985667034178611,0.101,0.174,0.0,25,Low
620c87c171fb2a6dd6e8bb4dec959fc6,RJ,740,722,8,72,39,92,114774.5,4.251023192360163,0.097,0.124,0.011,25,Low
a1043bafd471dff536d0c462352beb48,MG,718,702,3,40,16,78,101901.16,4.222377622377622,0.056,0.109,0.004,25,Low
f8db351d8c4c4c22c6835c19a46f01b0,SP,667,659,1,34,10,68,50525.6,4.238310708898944,0.051,0.102,0.001,25,Low
e9779976487b77c6d4ac45f75ec7afe9,SP,657,645,1,47,20,77,43162.95,4.215926493108729,0.072,0.117,0.002,25,Low
fa1c13f2614d7b5c4749cbc52fecda94,SP,585,578,1,59,30,61,194042.03,4.339070567986231,0.101,0.104,0.002,25,Low
7d13fca15225358621be4086e1eb0964,SP,565,558,0,68,43,98,113628.97,4.024955436720143,0.12,0.173,0.0,25,Low
128639473a139ac0f3e5f5ade55873a5,PR,533,527,0,33,14,59,11908.849999999999,4.185958254269449,0.062,0.111,0.0,25,Low
391fc6631aebcf3004804e51b40bcf1e,SP,526,521,0,54,23,81,39951.95,4.024856596558317,0.103,0.154,0.0,25,Low
46dc3b2cc0980fb8ec44634e21d2718e,RJ,521,503,3,33,14,68,128111.19,4.194174757281553,0.063,0.131,0.006,25,Low
53e4c6e0f4312d4d2107a8c9cddf45cd,SP,473,463,2,25,10,66,30148.95,4.084925690021231,0.053,0.14,0.004,25,Low
4e922959ae960d389249c378d1c939f5,SP,420,412,0,44,15,76,46030.37,3.9542168674698797,0.105,0.181,0.0,25,Low
1900267e848ceeba8fa32d80c1a5f5a8,SP,411,406,0,42,15,79,24982.53,3.8366336633663365,0.102,0.192,0.0,25,Low
16090f2ca825584b5a147ab24aa30c86,SP,402,398,0,43,12,56,25716.44,4.06,0.107,0.139,0.0,25,Low
2138ccb85b11a4ec1e37afbd1c8eda1f,SP,396,388,3,21,11,67,12357.03,3.939240506329114,0.053,0.169,0.008,25,Low
06a2c3af7b3aee5d69171b0e14f0ee87,MA,392,389,0,90,38,65,36408.95,3.9896907216494846,0.23,0.166,0.0,25,Low
218d46b86c1881d022bce9c68a7d4b15,SP,388,382,1,36,25,50,55093.28,4.155440414507772,0.093,0.129,0.003,25,Low
8581055ce74af1daba164fdbd55a40de,SP,387,380,2,38,18,42,64925.3,4.261658031088083,0.098,0.109,0.005,25,Low
8160255418d5aaa7dbdc9f4c64ebda44,SP,385,380,0,63,24,66,47017.69,3.9343832020997374,0.164,0.171,0.0,25,Low
4d6d651bd7684af3fffabd5f08d12e5a,SP,369,363,1,17,10,46,43587.4,4.192934782608695,0.046,0.125,0.003,25,Low
c826c40d7b19f62a09e2d7c5e7295ee2,SP,354,346,0,33,12,55,45643.74,4.079545454545454,0.093,0.155,0.0,25,Low
